년,월,국적지역,단기체류외국인 수
2022,6,예멘공화국,33
2022,6,피지,32
2022,6,알바니아,31
2022,6,마카오,30
2022,6,세르비아,30
2022,6,수단,30
2022,6,에스토니아,30
2022,6,탄자니아,30
2022,6,벨로루시,29
2022,6,레바논,28
2022,6,말리,28
2022,6,아제르바이잔,27
2022,6,세네갈,25
2022,6,슬로베니아,25
2022,6,자메이카,23
2022,6,투르크메니스탄,23
2022,6,라트비아,22
2022,6,국제연합,21
2022,6,짐바브웨,21
2022,6,콩고민주공화국,20
2022,6,모리셔스,19
2022,6,브루나이,19
2022,6,잠비아,19
2022,6,시에라리온,17
2022,6,영국외지민,16
2022,6,키프로스,16
